Usia,Jenis_Kelamin,Pendidikan_Terakhir,Pekerjaan,Status_Perkawinan,Jumlah_Anak,Penghasilan_Bulanan,Kota_Tinggal,NIK
86,Perempuan,Diploma,Pegawai Negeri,Belum Kawin,0,19616410,Cisaat,6462844431552326
70,Perempuan,Sarjana,Guru,Belum Kawin,0,14227217,Pelabuhan Ratu,1921734858548121
78,Perempuan,Sarjana,Pengangguran,Kawin,4,13019775,Jampang,5792388125234840
54,Perempuan,SMA,Guru,Kawin,0,16860641,Pelabuhan Ratu,3608050248638624
9,Laki-laki,SD,Dokter,Cerai,5,1133751,Jampang,3957139095219381
43,Perempuan,Diploma,Kuli,Cerai,3,11231664,Cisaat,9876226529991207
22,Laki-laki,Pascasarjana,Pelajar,Cerai,4,8495526,Sukabumi,2246373739159928
34,Laki-laki,Diploma,Pelajar,Cerai,2,2357544,Parungkuda,6098297185858246
88,Laki-laki,SMP,Petani,Belum Kawin,2,17587089,Parungkuda,8660529475005083
22,Laki-laki,SD,Petani,Cerai,1,16650022,Sukabumi,7588969087398943
37,Laki-laki,SD,Petani,Cerai,3,12101175,Sukabumi,3301633382127816
57,Perempuan,Diploma,Pengangguran,Cerai,0,18523821,Pelabuhan Ratu,0618373653435047
13,Perempuan,SMA,Dokter,Belum Kawin,5,19740013,Jampang,1984312333808042
29,Perempuan,Sarjana,Pelajar,Belum Kawin,2,6887312,Pelabuhan Ratu,7634675895950959
82,Laki-laki,Diploma,Pelajar,Belum Kawin,4,7070658,Jampang,0830439943588773
34,Laki-laki,Sarjana,Pegawai Negeri,Cerai,3,9770886,Parungkuda,1191484773243114
6,Laki-laki,SMA,Guru,Kawin,2,7930824,Cisaat,7501994566722461
30,Perempuan,SMA,Petani,Kawin,0,17666361,Parungkuda,7960253887554918
23,Laki-laki,SD,Pengangguran,Belum Kawin,2,737439,Cisaat,9065729605647269
64,Perempuan,SMP,Petani,Cerai,4,1678825,Jampang,5939073575150608
27,Perempuan,SD,Guru,Kawin,3,19900912,Cibadak,6756781633777579
33,Perempuan,SD,Dokter,Belum Kawin,2,15867714,Pelabuhan Ratu,2854788594122934
85,Perempuan,SMP,Pegawai Negeri,Belum Kawin,5,1868825,Sukabumi,0429626313730608
12,Perempuan,SMA,Dokter,Belum Kawin,5,9502640,Parungkuda,0449024387335598
40,Laki-laki,Sarjana,Pengangguran,Cerai,5,17829925,Parungkuda,2982333811288571
25,Laki-laki,Diploma,Pelajar,Cerai,4,17375513,Cisaat,2179381855514815
44,Perempuan,SD,Pengangguran,Kawin,3,17924751,Pelabuhan Ratu,7821525658209435
82,Perempuan,SMP,Pengangguran,Kawin,0,14625103,Cisaat,4170205900903671
20,Perempuan,SMP,Petani,Belum Kawin,4,13547068,Jampang,9528545443708929
5,Laki-laki,Diploma,Guru,Kawin,5,5577348,Parungkuda,5382616678931833
64,Perempuan,Diploma,Pelajar,Belum Kawin,1,3417438,Pelabuhan Ratu,0384494899101476
39,Perempuan,SMA,Pengangguran,Cerai,2,4787311,Sukabumi,3432014285640103
0,Perempuan,Pascasarjana,Pelajar,Kawin,4,651344,Parungkuda,1258788698163377
35,Laki-laki,SMP,Petani,Belum Kawin,5,6671390,Parungkuda,1187483593432840
