Usia,Jenis_Kelamin,Pendidikan_Terakhir,Pekerjaan,Status_Perkawinan,Jumlah_Anak,Penghasilan_Bulanan,Kota_Tinggal,NIK
34,Perempuan,Sarjana,Guru,Cerai,1,7338993,Jampang,2220930938926019
35,Laki-laki,SMA,Mahasiswa,Belum Kawin,1,13443676,Jampang,6689918344742261
23,Perempuan,Sarjana,Mahasiswa,Cerai,3,9199303,Sukabumi,1155155764887417
32,Perempuan,SD,Pengangguran,Cerai,1,2410308,Parungkuda,8362610916150692
26,Perempuan,Pascasarjana,PNS,Belum Kawin,2,13744088,Parungkuda,3666695175556262
23,Laki-laki,Pascasarjana,PNS,Belum Kawin,4,17656348,Cisaat,0681285343554496
33,Laki-laki,SMP,Guru,Cerai,2,1775488,Cibadak,1032985584154608
24,Perempuan,Pascasarjana,PNS,Belum Kawin,2,1080921,Cisaat,4091630645172211
27,Perempuan,Sarjana,Guru,Kawin,3,3430295,Jampang,8445013144536365
35,Perempuan,SMA,Mahasiswa,Kawin,0,19332261,Pelabuhan Ratu,4983365592080221
24,Perempuan,SMA,Kuli,Belum Kawin,3,4256574,Parungkuda,9933453619068154
36,Laki-laki,Sarjana,Mahasiswa,Cerai,5,1353164,Jampang,5811454322024701
24,Perempuan,SD,Guru,Kawin,2,3680290,Sukabumi,8046441704561157
28,Perempuan,SMP,Pengangguran,Cerai,5,19761510,Cibadak,6000648825830575
27,Laki-laki,SMP,Guru,Kawin,2,863027,Jampang,0160455011928089
32,Laki-laki,SMA,Pelajar,Kawin,2,11035689,Cisaat,4189924673394331
23,Laki-laki,Pascasarjana,Pelajar,Cerai,2,12360062,Cibadak,9111012698666675
35,Laki-laki,SD,Kuli,Cerai,2,19979005,Jampang,9536687314742431
38,Perempuan,SMA,Mahasiswa,Belum Kawin,4,12776290,Cibadak,9001124220175190
24,Perempuan,Sarjana,Guru,Kawin,1,12725342,Pelabuhan Ratu,0050392053929305
29,Perempuan,SMA,PNS,Kawin,3,11638880,Pelabuhan Ratu,5706356709372252
36,Perempuan,SMA,Pengangguran,Kawin,4,14675617,Jampang,5688025316391344
23,Perempuan,Diploma,Pelajar,Cerai,5,9086637,Pelabuhan Ratu,7575282999128767
34,Laki-laki,SMA,Guru,Cerai,5,17153901,Sukabumi,6465524496322284
39,Laki-laki,Sarjana,Pengangguran,Cerai,5,8590251,Parungkuda,6218901537774018
27,Laki-laki,Pascasarjana,Pelajar,Belum Kawin,5,5183277,Cibadak,0843748464332379
39,Laki-laki,Pascasarjana,Pelajar,Belum Kawin,5,6043821,Cisaat,5121698624527163
26,Perempuan,Sarjana,Guru,Kawin,1,3139323,Jampang,0640087550439135
29,Laki-laki,Sarjana,Kuli,Belum Kawin,1,7263954,Parungkuda,3663614373197085
30,Laki-laki,Pascasarjana,Guru,Belum Kawin,4,6003518,Cibadak,9849932150372367
31,Laki-laki,Sarjana,Mahasiswa,Belum Kawin,5,13047131,Jampang,3450152930936012
38,Laki-laki,Diploma,Kuli,Cerai,3,12399126,Jampang,2034349073427688
24,Laki-laki,Pascasarjana,Pelajar,Cerai,0,8998547,Jampang,5461284985202215
35,Perempuan,Diploma,Pengangguran,Belum Kawin,0,18160757,Parungkuda,3037241619762079
31,Laki-laki,Sarjana,Pengangguran,Kawin,2,11328573,Pelabuhan Ratu,3231647857988135
37,Perempuan,Pascasarjana,Pelajar,Belum Kawin,0,16356452,Cibadak,3671717879992057
28,Perempuan,SMA,Guru,Cerai,5,18933811,Jampang,5327084032413456
35,Perempuan,Sarjana,Pengangguran,Cerai,2,17535761,Jampang,9358708353136088
25,Laki-laki,SMA,Pelajar,Kawin,5,7378146,Sukabumi,4755355685886577
25,Laki-laki,Sarjana,Guru,Kawin,5,655413,Cisaat,9701022259140839
28,Laki-laki,SD,Kuli,Cerai,4,13583931,Jampang,4155751266113998
36,Laki-laki,SD,Pelajar,Belum Kawin,1,13867439,Sukabumi,3114573346705679
35,Perempuan,SMP,Pelajar,Cerai,2,14092954,Pelabuhan Ratu,9733017815396911
23,Perempuan,SD,Kuli,Belum Kawin,3,9610644,Parungkuda,1621635190994619
26,Perempuan,Diploma,Mahasiswa,Cerai,2,4530881,Parungkuda,7756805259985707
34,Laki-laki,SMP,Pengangguran,Belum Kawin,3,1399433,Parungkuda,1129126683667059
27,Perempuan,Pascasarjana,PNS,Cerai,3,14219316,Pelabuhan Ratu,0495551021423347
26,Laki-laki,Sarjana,Pelajar,Cerai,5,4518992,Cibadak,5170204334486938
29,Laki-laki,Sarjana,Mahasiswa,Kawin,5,17183916,Cibadak,0171526775664056
23,Perempuan,Diploma,Mahasiswa,Cerai,4,2941704,Jampang,6978533992017254
32,Laki-laki,SMP,Pengangguran,Kawin,0,4715992,Pelabuhan Ratu,6587668304114712
35,Perempuan,Pascasarjana,PNS,Belum Kawin,3,10813436,Pelabuhan Ratu,8311829617134699
36,Perempuan,SD,Pengangguran,Kawin,4,4434959,Pelabuhan Ratu,3626236869757220
28,Perempuan,Diploma,Guru,Cerai,4,4720085,Parungkuda,9411386118973934
24,Laki-laki,SMP,PNS,Cerai,2,2713519,Cisaat,7484956271835279
27,Laki-laki,Sarjana,Mahasiswa,Cerai,3,15040775,Cisaat,6035352875600565
31,Laki-laki,Diploma,Mahasiswa,Belum Kawin,3,2983991,Cisaat,1832408304816015
25,Laki-laki,Sarjana,Kuli,Belum Kawin,1,8860769,Jampang,1358606316669649
31,Perempuan,SMA,Guru,Belum Kawin,0,2495841,Pelabuhan Ratu,9886333508117785
26,Laki-laki,Sarjana,Kuli,Cerai,1,10838094,Pelabuhan Ratu,5550892861367974
33,Laki-laki,Sarjana,PNS,Belum Kawin,1,3190131,Jampang,2860692896997632
25,Laki-laki,SMA,Kuli,Kawin,0,3920773,Sukabumi,8574925211128325
30,Laki-laki,SD,PNS,Kawin,3,9838776,Pelabuhan Ratu,2036967135684874
27,Perempuan,SD,Pengangguran,Cerai,2,11728650,Cibadak,4900633073716267
33,Laki-laki,Pascasarjana,Pelajar,Kawin,1,16986571,Cibadak,7180396844040033
23,Laki-laki,SMP,Mahasiswa,Cerai,5,13636344,Sukabumi,9239835784261703
31,Laki-laki,SMA,Pelajar,Belum Kawin,2,8573224,Jampang,0759862142634128
37,Perempuan,Pascasarjana,Pelajar,Belum Kawin,4,1237496,Parungkuda,6313291278090968
26,Perempuan,Diploma,Guru,Cerai,5,15197038,Cisaat,5995868395278317
29,Perempuan,Pascasarjana,PNS,Cerai,5,2133296,Pelabuhan Ratu,0238462387922907
